iter	Passed	Remaining
0	1	165
1	3	163
2	4	159
3	6	157
4	8	154
5	9	150
6	11	149
7	12	147
8	14	145
9	15	142
10	17	140
11	19	140
12	21	140
13	23	141
14	24	141
15	26	140
16	28	140
17	30	138
18	32	138
19	35	140
20	37	139
21	38	138
22	40	136
23	42	135
24	44	133
25	46	131
26	48	131
27	50	130
28	52	129
29	54	127
30	56	125
31	58	124
32	60	123
33	62	121
34	64	120
35	66	118
36	68	116
37	70	114
38	71	112
39	73	109
40	74	107
41	75	104
42	77	102
43	78	99
44	79	97
45	81	95
46	82	93
47	84	91
48	85	88
49	86	86
50	87	84
51	88	81
52	89	79
53	90	77
54	91	74
55	92	72
56	93	70
57	94	68
58	95	66
59	97	64
60	98	62
61	99	61
62	100	59
63	102	57
64	103	55
65	104	53
66	105	52
67	106	50
68	107	48
69	108	46
70	110	45
71	112	43
72	113	41
73	114	40
74	115	38
75	116	36
76	117	35
77	118	33
78	119	31
79	120	30
80	121	28
81	122	26
82	123	25
83	124	23
84	126	22
85	127	20
86	128	19
87	129	17
88	130	16
89	131	14
90	132	13
91	133	11
92	134	10
93	135	8
94	136	7
95	137	5
96	138	4
97	139	2
98	140	1
99	140	0
